season,week,game_id,game_type,home_team,away_team,div_game,actual_home_win,calibrated,model_side,model_team,model_odds,model_prob,model_edge,bet_flag,model_reason,model_profit,model_is_favorite,model_is_home,bl_home_profit,bl_favorite_profit,bl_highprob_profit,bl_highev_noguard_profit,bl_highev_guard_profit
2023,2,2023_02_SEA_DET,REG,DET,SEA,0,0.0,False,away,SEA,180.0,0.37985896905082495,0.0636051133423099,1,edge 6.36% clears required 2.00%; market quality OK,18.0,False,False,-10.0,-10.0,-10.0,18.0,18.0
2023,2,2023_02_IND_HOU,REG,HOU,IND,1,0.0,False,home,HOU,-110.0,0.5130643659557986,-0.020513483175293556,0,edge -2.05% below required 3.00% (base minimum edge 2.00%; coin-flip probability (51.3% within 5% of 50%): +1.00%),-10.0,True,True,-10.0,-10.0,-10.0,-10.0,
2023,2,2023_02_KC_JAX,REG,JAX,KC,0,0.0,False,away,KC,-170.0,0.637407629819714,0.012353294419545746,0,edge 1.24% below required 2.00% (base minimum edge 2.00%),5.882352941176471,True,False,-10.0,5.882352941176471,5.882352941176471,5.882352941176471,
2023,2,2023_02_CHI_TB,REG,TB,CHI,0,1.0,False,home,TB,-135.0,0.7675518803553665,0.33610882876674897,1,edge 33.61% clears required 2.00%; market quality OK,7.4074074074074066,True,True,7.4074074074074066,7.4074074074074066,7.4074074074074066,7.4074074074074066,7.4074074074074066
2023,2,2023_02_LAC_TEN,REG,TEN,LAC,0,1.0,False,home,TEN,120.0,0.534542132587724,0.1759926916929927,1,edge 17.60% clears required 3.00%; market quality OK,12.0,False,True,12.0,-10.0,12.0,12.0,12.0
2023,2,2023_02_NYG_ARI,REG,ARI,NYG,0,0.0,False,home,ARI,185.0,0.5319090294670986,0.5159407339812311,1,edge 51.59% clears required 3.00%; market quality OK,-10.0,False,True,-10.0,4.444444444444445,-10.0,-10.0,-10.0
2023,2,2023_02_SF_LA,REG,LA,SF,1,0.0,False,home,LA,270.0,0.3454870302182729,0.2783020118076097,1,edge 27.83% clears required 2.00%; market quality OK,-10.0,False,True,-10.0,2.9411764705882355,2.9411764705882355,-10.0,-10.0
2023,2,2023_02_NYJ_DAL,REG,DAL,NYJ,0,1.0,False,home,DAL,-380.0,0.7875582458948294,-0.005189584132847119,0,edge -0.52% below required 4.00% (base minimum edge 2.00%; short favorite (-380 <= -250): +2.00%),2.631578947368421,True,True,2.631578947368421,2.631578947368421,2.631578947368421,2.631578947368421,
2023,2,2023_02_WAS_DEN,REG,DEN,WAS,0,0.0,False,away,WAS,164.0,0.5404073479257968,0.4266753985241035,1,edge 42.67% clears required 3.00%; market quality OK,16.4,False,False,-10.0,-10.0,16.4,16.4,16.4
2023,2,2023_02_MIA_NE,REG,NE,MIA,1,0.0,False,home,NE,110.0,0.5577469923844275,0.17126868400729778,1,edge 17.13% clears required 2.00%; market quality OK,-10.0,False,True,-10.0,7.6923076923076925,-10.0,-10.0,-10.0
2023,2,2023_02_NO_CAR,REG,CAR,NO,1,0.0,False,home,CAR,145.0,0.48725319740373535,0.19377033363915153,1,edge 19.38% clears required 3.00%; market quality OK,-10.0,False,True,-10.0,5.7142857142857135,5.7142857142857135,-10.0,-10.0
2023,2,2023_02_CLE_PIT,REG,PIT,CLE,1,1.0,False,home,PIT,124.0,0.5404345734518685,0.21057344453218552,1,edge 21.06% clears required 3.00%; market quality OK,12.4,False,True,12.4,-10.0,12.4,12.4,12.4
2023,3,2023_03_NYG_SF,REG,SF,NYG,0,1.0,False,home,SF,-535.0,0.8238076530070105,-0.022209608113174434,0,edge -2.22% below required 4.00% (base minimum edge 2.00%; short favorite (-535 <= -250): +2.00%),1.8691588785046729,True,True,1.8691588785046729,1.8691588785046729,1.8691588785046729,1.8691588785046729,
2023,3,2023_03_IND_BAL,REG,BAL,IND,0,0.0,False,away,IND,300.0,0.25466581968701507,0.018663278748060286,0,edge 1.87% below required 4.00% (base minimum edge 2.00%; long underdog (300 >= +300): +2.00%),30.0,False,False,-10.0,-10.0,-10.0,30.0,
2023,3,2023_03_TEN_CLE,REG,CLE,TEN,0,1.0,False,home,CLE,-185.0,0.6277720077611352,-0.03289177182744041,0,edge -3.29% below required 2.00% (base minimum edge 2.00%),5.405405405405405,True,True,5.405405405405405,5.405405405405405,5.405405405405405,5.405405405405405,
2023,3,2023_03_ATL_DET,REG,DET,ATL,0,1.0,False,away,ATL,140.0,0.4340300913750538,0.04167221930012899,1,edge 4.17% clears required 2.00%; market quality OK,-10.0,False,False,6.024096385542169,6.024096385542169,6.024096385542169,-10.0,-10.0
2023,3,2023_03_NO_GB,REG,GB,NO,0,1.0,False,home,GB,105.0,0.6075142501269849,0.2454042127603191,1,edge 24.54% clears required 2.00%; market quality OK,10.5,False,True,10.5,-10.0,10.5,10.5,10.5
2023,3,2023_03_HOU_JAX,REG,JAX,HOU,1,0.0,False,home,JAX,-380.0,0.786651745547611,-0.006334637203017746,0,edge -0.63% below required 4.00% (base minimum edge 2.00%; short favorite (-380 <= -250): +2.00%),-10.0,True,True,-10.0,-10.0,-10.0,-10.0,
2023,3,2023_03_DEN_MIA,REG,MIA,DEN,0,1.0,False,home,MIA,-250.0,0.7481300206031933,0.04738202884447068,1,edge 4.74% clears required 4.00%; market quality OK,4.0,True,True,4.0,4.0,4.0,4.0,4.0
